n,matcher_time,verifier_time
1,0.016616149997571484,0.01835716249770485
2,0.016667899797903375,0.0179719084961107
4,0.021795445700990967,0.0182850333978422
8,0.01682896249985788,0.01824232070357539
16,0.016511312499642373,0.018097808401216754
32,0.016785854200134055,0.018232416597311386
64,0.01732025010569487,0.018832400001701898
128,0.019114254106534646,0.02098922509467229
256,0.026465404298505746,0.029471799900056793
512,0.06479379580414388,0.07867593320261221
